ts_code,name,price
000610.SZ,西安旅游,9.655000000000001
000611.SZ,*ST天首,3.11
000612.SZ,焦作万方,4.655
000613.SZ,大东海A,5.055
000615.SZ,京汉股份,4.8100000000000005
000616.SZ,海航投资,2.5949999999999998
000617.SZ,中油资本,12.329999999999998
000619.SZ,海螺型材,5.5649999999999995
000620.SZ,新华联,4.6850000000000005
000622.SZ,恒立实业,4.875
000623.SZ,吉林敖东,15.91
000625.SZ,长安汽车,8.085
000626.SZ,远大控股,7.325
000627.SZ,天茂集团,7.039999999999999
000628.SZ,高新发展,9.645
000629.SZ,攀钢钒钛,3.045
000630.SZ,铜陵有色,2.245
000631.SZ,顺发恒业,2.87
000632.SZ,三木集团,6.665
000633.SZ,合金投资,4.335
000635.SZ,英力特,7.6850000000000005
000636.SZ,风华高科,12.805
000637.SZ,茂化实华,4.425000000000001
000638.SZ,万方发展,4.985
000639.SZ,西王食品,5.145
000650.SZ,仁和药业,7.34
000652.SZ,泰达股份,3.58
000655.SZ,金岭矿业,5.09
000656.SZ,金科股份,6.779999999999999
000657.SZ,中钨高新,6.625
000659.SZ,珠海中富,2.825
000662.SZ,天夏智慧,4.115
000663.SZ,永安林业,5.775
000665.SZ,湖北广电,5.335
000666.SZ,经纬纺机,12.065000000000001
000667.SZ,美好置业,2.7649999999999997
000668.SZ,荣丰控股,14.85
000669.SZ,金鸿控股,3.935
000670.SZ,*ST盈方,1.8599999999999999
000671.SZ,阳光城,5.75
000672.SZ,上峰水泥,12.2
000673.SZ,当代东方,2.935
000676.SZ,智度股份,6.01
000677.SZ,恒天海龙,3.105
000678.SZ,襄阳轴承,6.9350000000000005
000679.SZ,大连友谊,3.7
000680.SZ,山推股份,3.58
000681.SZ,视觉中国,24.04
000682.SZ,东方电子,4.494999999999999
000683.SZ,远兴能源,2.375
000685.SZ,中山公用,7.9
000686.SZ,东北证券,8.165
000687.SZ,华讯方舟,7.835
000688.SZ,国城矿业,10.42
000690.SZ,宝新能源,5.765000000000001
000691.SZ,亚太实业,3.835
000692.SZ,惠天热电,2.96
000695.SZ,滨海能源,8.45
000697.SZ,炼石航空,12.985
000698.SZ,沈阳化工,3.94
000700.SZ,模塑科技,3.415
000701.SZ,厦门信达,5.71
000702.SZ,正虹科技,6.225
000703.SZ,恒逸石化,11.260000000000002
000705.SZ,浙江震元,6.68
000707.SZ,ST双环,2.645
000708.SZ,中信特钢,14.375
000709.SZ,河钢股份,2.5700000000000003
